9,11366
9,11470
9,11292
9,10008
9,10009
770670074,null
770689561,null
770673029,12642
770673029,11853
770673029,12084
770673029,770800493
770673029,770863873
771190753,null
392799904,12686
392799904,24214
392799904,494046103
392799904,9432
392799904,770683433
770790932,314388060
770790932,9369
770790932,770790933
770790932,770671944
770790932,13042
10009,10008
10009,11366
10009,11292
10009,11470
771321699,null
771365948,null
771370075,null
770683913,9
770683913,10009
770683913,10008
770683913,11292
770683913,11366
10008,11366
10008,11292
10008,672128428
771358589,null
11366,11292
11366,11470
11292,11470
11292,8266
11470,672128428
11462,770816171
11462,16978
11462,10109
11462,1971
11462,11287
672128428,9
672128428,11292
672128428,11366
672128428,10009
12303,770676132
12303,561427254
12303,586577217
12303,10557
12303,8266
11853,11889
11853,11646
11853,12300
11853,11936
12084,12300
12084,12642
12084,10849
12084,11889
13545,770810640
13545,9273
13719,13790
13719,13240
13719,16681
13719,770676634
13719,11591
11646,770673029
11646,11889
11646,11936
11646,8266
425838881,9
10849,770673029
10849,9400
10849,12642
10849,11646
12300,770673029
12300,11936
12300,12428
12642,12428
561427254,586577217
561427254,444129908
11889,11936
11889,665118753
12428,770673029
11936,770673029
355028245,12910
355028245,770685591
355028245,19447
355028245,349219108
355028245,381421832
12182,770673029
11727,11546
11727,248007565
11727,155655036
16064,512890937
770669885,null
771325066,null
586577217,444129908
586577217,8266
770679985,null
10746,10489
10746,10743
770681579,null
771211554,null
770768852,9185
771243352,null
770950053,null
771270356,null
14204,13719
530680449,9
770679991,null
770797690,null
770813669,null
770677036,null
771253969,null
770796540,null
14874,770875109
10178,10137
10178,518921426
770803271,377006508
770803271,381413614
770803271,19394
770803271,11197
770803271,271510064
12437,null
770681548,null
9690,null
11485,770783485
9528,13492
9528,9917
770686086,null
485249087,null
771307548,null
348376260,null
771325937,null
771361911,null
770681514,null
770681551,null
17439,null
771258003,null
770771561,770682673
770802125,null
770674730,null
770790586,null
770738156,null
771318953,null
770933235,null
770679911,null
770797866,null
770907481,null
11051,null
770801413,null
770828355,null
770694075,null
770790471,null
770950150,null
770956902,null
246243307,null
770737824,null
770812452,null
770770004,null
770795276,null
770927149,null
771357375,null
770735518,null
770783547,null
770814753,null
770919754,null
770950334,null
770805837,null
771356021,null
770682263,null
770693516,null
770819798,null
770922676,null
770902416,null
770925166,null
771002432,null
770691512,null
770751572,null
770888882,null
770930030,null
770936638,null
770944348,null
771032945,null
770789309,null
770888905,null
770893939,null
770912513,null
770929277,null
770929413,null
770950332,null
771004998,null
771013304,null
771200955,null
771303326,null
770733481,null
770854206,null
770888879,null
770888880,null
770888887,null
770888891,null
770888892,null
770888893,null
770888894,null
770888903,null
770888904,null
770893116,null
770910920,null
770913445,null
770922188,null
770927645,null
770930612,null
770942518,null
770944350,null
770944357,null
770944360,null
770944363,null
770944366,null
770944370,null
770944372,null
770950330,null
770950331,null
770950335,null
770950337,null
770959201,null
770963835,null
770978283,null
770984819,null
770988081,null
770991876,null
770992299,null
771005002,null
771007752,null
771202798,null
771234431,null
771355637,null
771363636,null
771370955,null
528392209,null
771271061,null
18680,9559
18680,9414
13245,770669872
202570495,null
13583,770857927
14821,null
770687128,770802113
771030985,null
10728,null
770679987,null
202590447,null
11207,null
770797198,null
770679392,null
770674787,null
12492,null
770675597,null
770682925,null
16066,null
770895684,null
770887727,null
771279536,null
11539,null
14688,null
16511,null
771015074,null
11354,null
14906,null
770811496,null
11750,null
771316630,null
11288,null
770673705,null
770683208,null
771362216,null
470650910,null
425566662,null
771208337,null
770926035,null
770825022,null
20414,null
746836127,null
770752377,null
321958314,null
770794751,null
770672901,null
335719188,null
770930152,null
601636763,null
770819778,null
395114772,null
585856898,null
770804567,null
770728344,null
770850711,null
770683513,null
421551467,null
727275471,null
770930153,null
770930154,null
770711140,null
770930034,null
770930155,null
770760950,null
770825376,null
770683028,null
770848260,null
770695773,null
770986055,null
770801343,null
770813656,null
770817102,null
770826360,null
770829502,null
770884998,null
770714737,null
770817777,null
770847227,null
770889061,null
326396911,null
770700508,null
770787420,null
770814694,null
771035755,null
771270188,null
770669562,null
770706352,null
770790689,null
770792070,null
770804735,null
770812376,null
12570,null
770676115,null
770794212,null
770825291,null
770846963,null
770924272,null
770971033,null
771026759,null
20012,null
770679314,null
770684035,null
770704044,null
770746179,null
770803580,null
770816314,null
770818263,null
770829550,null
770857860,null
770889071,null
770889075,null
770915299,null
770915301,null
770965059,null
771009316,null
770737693,null
770809815,null
770813127,null
770828125,null
770889063,null
770889065,null
770889078,null
770889079,null
770889081,null
770915302,null
